FT 3000 6000 9000 12000 18000 24000 30000 34000 39000
RDU 2308 2308+16 3506+15 0209+09 0213-06 0324-16 022734 023044 022855
RIC 2211 2817+18 3410+15 3611+08 3510-07 3627-16 362734 363044 012755
RKS NA NA 2021 2022+12 2135-03 2135-16 203829 213439 232151
RNO NA 1112 1213+08 1512+03 1926-09 1755-16 177229 187639 198150
ROA 2109 2610+17 3413+15 0115+09 0115-06 3623-16 352533 012544 022255
ROW NA 1316 1317+19 1317+10 1528-05 1124-18 113035 092440 062851
SAC 3508 3608+16 9900+09 1610+03 1722-09 1849-19 178330 179138 196546
SAN 1536 1630+15 1724+12 1819+08 2418-02 2220-11 183826 174135 173947
SAT 1112 1012+22 0813+13 0827+10 1032-06 1132-17 121933 121944 132156
SAV 1711 1406+17 1305+13 0506+09 0517-05 0427-18 053334 042442 341651
SBA 3507 0110+15 0208+09 1110+05 1226-05 1332-14 154528 165437 175347
SEA 3506 9900+14 1912+07 2114+02 2431-11 2439-23 244640 234647 217950
SFO 3217 0113+16 0106+08 2006+03 1815-11 1850-19 178329 178637 195844
SGF 2707 3108+27 3111+19 3412+11 1011-06 0518-15 090932 081143 081254
SHV 0715 0825+24 0827+18 0830+10 0522-06 0716-16 092434 103143 102653
SIY NA 3407+20 3608+12 0208+03 0711-10 0610-22 197932 189340 198149
SLC NA 9900 1710+18 1729+11 2043-05 2046-15 195629 194938 215351
SLN 9900 9900+26 2011+19 1811+12 9900-04 9900-16 100732 061242 072453
SPI 0809 2906+25 3010+20 3113+13 3313-05 3420-16 031332 031642 011454
SPS 1014 1014+26 1114+17 1420+10 0612-05 1014-17 103034 103944 103053
SSM 3418 3320+13 3130+12 3040+06 2853-07 2955-18 297032 297343 308156
STL 9900 2710+26 3113+20 3509+13 3011-06 3617-16 361132 361242 021254
SYR 2515 2822+15 2917+12 2824+07 2922-05 3132-18 343934 355745 325852
T01 1109 0521+19 0725+13 0726+10 0524-05 0721-17 110732 151242 173154
T06 0821 0627+17 0623+14 0726+10 0623-05 0723-17 990031 201441 183952
T07 0925 0826+18 0826+13 0725+09 0727-05 0722-16 320630 242040 183152
TCC NA 1415 1415+20 1515+11 1522-04 1321-17 123534 113442 082652
TLH 1013 1214+17 1114+13 0913+08 0619-05 0627-18 021331 292939 273652
TRI NA 2309+19 3512+15 0214+10 0218-06 0120-15 011833 012243 022655
TUL 9900 9900+27 9900+19 2105+11 0720-06 0723-16 092132 092643 092454
TUS NA 1836+19 1739+16 1433+10 1544-04 1528-14 142227 152238 191650
TVC 0122 3218+18 3124+15 3127+09 2940-06 2948-16 296031 305942 327856
TYS 9900 9900+20 0216+16 0222+11 0317-06 0316-15 021633 022243 042055
WJF NA 0832+15 1228+12 1338+08 1446-04 1648-14 163927 164936 165448
YKM 9900 9900+16 2208+09 2322+03 2422-10 2423-22 232839 218143 710151
ZUN NA NA 1527+21 1528+12 1736-05 1631-15 102628 082037 050550
2XG 1110 1209+18 1307+13 0906+06 0516-07 0415-19 331933 321941 311951
4J3 1027 1123+17 0922+12 0922+07 0726-05 0623-16 280729 241739 243252

