ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
KGUC,small_airport,Gunnison Crested Butte Regional Airport,7680.0,,US,US-CO,Gunnison,KGUC,GUC,GUC,"38.536346, -106.928306"
KGUP,medium_airport,Gallup Municipal Airport,6472.0,,US,US-NM,Gallup,KGUP,GUP,GUP,"35.511100769, -108.789001465"
KGUS,medium_airport,Grissom Air Reserve Base,812.0,,US,US-IN,Peru,KGUS,GUS,GUS,"40.648102, -86.1521"
KGUY,medium_airport,Guymon Municipal Airport,3123.0,,US,US-OK,Guymon,KGUY,GUY,GUY,"36.6851005554, -101.508003235"
KGVL,small_airport,Lee Gilmer Memorial Airport,1276.0,,US,US-GA,Gainesville,KGVL,GVL,GVL,"34.27259827, -83.8302002"
KGVQ,small_airport,Genesee County Airport,914.0,,US,US-NY,Batavia,KGVQ,,GVQ,"43.03170013, -78.16760254"
KGVT,small_airport,Majors Airport,535.0,,US,US-TX,Greenville,KGVT,GVT,GVT,"33.0677986145, -96.0652999878"
KGVW,closed,Richards-Gebaur Air Force Base,1093.0,,US,US-MO,Belton,,,,"38.844200134277344, -94.55999755859375"
KGWB,small_airport,De Kalb County Airport,880.0,,US,US-IN,Auburn,KGWB,,GWB,"41.307201, -85.0644"
KGWN,heliport,Winn Army Community Hospital Helipad,82.0,,US,US-GA,Fort Stewart,KGWN,,,"31.874278, -81.596618"
KGWO,medium_airport,Greenwood–Leflore Airport,162.0,,US,US-MS,Greenwood,KGWO,GWO,GWO,"33.4943008423, -90.0847015381"
KGWR,small_airport,Gwinner Roger Melroe Field,1266.0,,US,US-ND,Gwinner,KGWR,,GWR,"46.21870040893555, -97.64320373535156"
KGWS,small_airport,Glenwood Springs Municipal Airport,5916.0,,US,US-CO,Glenwood Springs,KGWS,GWS,GWS,"39.5083007812, -107.310997009"
KGWW,small_airport,Goldsboro-Wayne Municipal Airport,134.0,,US,US-NC,Goldsboro,KGWW,,GWW,"35.460601806599996, -77.96489715579999"
KGX,small_airport,Grayling Airport,99.0,,US,US-AK,Grayling,PAGX,KGX,KGX,"62.895187, -160.066289"
KGXY,small_airport,Greeley–Weld County Airport,4697.0,,US,US-CO,Greeley,KGXY,GXY,GXY,"40.4374008179, -104.633003235"
KGYB,small_airport,Giddings-Lee County Airport,485.0,,US,US-TX,Giddings,KGYB,,GYB,"30.1693, -96.980003"
KGYH,small_airport,Donaldson Field Airport,955.0,,US,US-SC,Greenville,KGYH,GDC,GYH,"34.758301, -82.376404"
KGYI,small_airport,North Texas Regional Airport/Perrin Field,749.0,,US,US-TX,Sherman/Denison,KGYI,PNX,GYI,"33.7141, -96.673698"
KGYL,small_airport,Glencoe Municipal Airport,992.0,,US,US-MN,Glencoe,KGYL,,GYL,"44.75600051879883, -94.0811996459961"
KGYR,small_airport,Phoenix Goodyear Airport,968.0,,US,US-AZ,Goodyear,KGYR,GYR,GYR,"33.4225006104, -112.375999451"
KGYY,medium_airport,Gary Chicago International Airport,591.0,,US,US-IN,Gary,KGYY,GYY,GYY,"41.61629867553711, -87.41280364990234"
KGZ,small_airport,Glacier Creek Airport,2380.0,,US,US-AK,Glacier Creek,KGZ,KGZ,KGZ,"61.4551010132, -142.380996704"
KGZH,small_airport,Evergreen Regional Airport/Middleton Field,259.0,,US,US-AL,Evergreen,KGZH,,GZH,"31.4158, -87.043999"
KGZN,small_airport,Gregory M. Simmons Memorial Airport,1711.0,,US,US-TX,Cisco,KGZN,,GZN,"32.367348, -99.023642"
KGZS,small_airport,Abernathy Field,685.0,,US,US-TN,Pulaski,KGZS,,GZS,"35.15370178222656, -87.05680084228516"
KH04,small_airport,Vinita Municipal Airport,696.0,,US,US-OK,Vinita,KH04,,H04,"36.632999420166016, -95.15139770507812"
KH05,small_airport,Wilburton Municipal Airport,670.0,,US,US-OK,Wilburton,KH05,,H05,"34.91999816894531, -95.39399719238281"
KH17,small_airport,Buffalo Municipal Airport,1154.0,,US,US-MO,Buffalo,KH17,,H17,"37.65420150756836, -93.08769989013672"
KH19,small_airport,Bowling Green Municipal Airport,886.0,,US,US-MO,Bowling Green,KH19,,H19,"39.36989974975586, -91.21929931640625"
KH21,small_airport,Camdenton Memorial Airport,1062.0,,US,US-MO,Camdenton,KOZS,,OZS,"37.974024, -92.691254"
KH34,small_airport,Huntsville Municipal Airport,1749.0,,US,US-AR,Huntsville,,,H34,"36.078201, -93.754799"
KH35,small_airport,Clarksville Municipal Airport,481.0,,US,US-AR,Clarksville,KH35,,H35,"35.470699310302734, -93.42720031738281"
KH37,small_airport,Herlong Airport,4055.0,,US,US-CA,Herlong,H37,,H37,"40.138801574707, -120.17900085449"
KH58,small_airport,Owen Field,1600.0,,US,US-MO,Seymour,KH58,,H58,"37.18470001220703, -92.73760223388672"
KH68,small_airport,Hefner Easley Airport,609.0,,US,US-OK,Wagoner,KH68,,H68,"35.96260070800781, -95.34190368652344"
KH70,small_airport,Stratford Field,3668.0,,US,US-TX,Stratford,KH70,,H70,"36.34560012817383, -102.04900360107422"
KH71,small_airport,Mid America Industrial Airport,622.0,,US,US-OK,Pryor,KH71,,H71,"36.225399017333984, -95.3301010131836"
KH76,small_airport,Pawhuska Municipal Airport,1000.0,,US,US-OK,Pawhuska,KH76,,H76,"36.67169952392578, -96.40560150146484"
KH79,small_airport,Eldon Model Airpark,909.0,,US,US-MO,Eldon,KH79,,H79,"38.360599517822266, -92.57160186767578"
KH88,small_airport,A Paul Vance Fredericktown Regional Airport,880.0,,US,US-MO,Fredericktown,,,H88,"37.605801, -90.2873"
KH92,small_airport,Hominy Municipal Airport,825.0,,US,US-OK,Hominy,KH92,,H92,"36.44269943237305, -96.38719940185547"
KH96,small_airport,Benton Municipal Airport,444.0,,US,US-IL,Benton,KH96,,H96,"38.00669860839844, -88.93440246582031"
KHAB,small_airport,Marion County Rankin Fite Airport,436.0,,US,US-AL,Hamilton,KHAB,HAB,HAB,"34.11759949, -87.99819946"
KHAE,small_airport,Hannibal Regional Airport,769.0,,US,US-MO,Hannibal,KHAE,,HAE,"39.72449875, -91.4437027"
KHAF,small_airport,Half Moon Bay Airport,66.0,,US,US-CA,Half Moon Bay,KHAF,HAF,HAF,"37.513401031499995, -122.500999451"
KHAI,small_airport,Three Rivers Municipal Dr Haines Airport,824.0,,US,US-MI,Three Rivers,KHAI,HAI,HAI,"41.9598007202, -85.59339904790001"
KHAO,small_airport,Butler Co Regional Airport - Hogan Field,633.0,,US,US-OH,Hamilton,KHAO,HAO,HAO,"39.363800048799995, -84.5220031738"
KHAX,closed,Hatbox Field,627.0,,US,US-OK,Muskogee,,,,"35.746437, -95.413277"
KHBC,small_airport,Mohall Municipal Airport,1649.0,,US,US-ND,Mohall,KHBC,,HBC,"48.76839828491211, -101.53700256347656"
KHBG,medium_airport,Hattiesburg Bobby L Chain Municipal Airport,151.0,,US,US-MS,Hattiesburg,KHBG,HBG,HBG,"31.26479912, -89.25279999"
KHBI,small_airport,Asheboro Regional Airport,671.0,,US,US-NC,Asheboro,KHBI,,HBI,"35.65449905, -79.8946991"
KHBR,medium_airport,Hobart Regional Airport,1563.0,,US,US-OK,Hobart,KHBR,HBR,HBR,"34.991317, -99.051313"
KHBV,small_airport,Jim Hogg County Airport,663.0,,US,US-TX,Hebbronville,KHBV,,HBV,"27.349599838256836, -98.73699951171875"
KHBW,closed,Joshua Sanford Field,938.0,,US,US-WI,Hillsboro,,,,"43.656601, -90.3282"
KHBZ,small_airport,Heber Springs Municipal Airport,632.0,,US,US-AR,Heber Springs,KHBZ,,HBZ,"35.5117, -92.013"
KHCD,small_airport,Hutchinson Municipal Butler Field,1062.0,,US,US-MN,Hutchinson,KHCD,,HCD,"44.85990143, -94.38249969"
KHCO,small_airport,Hallock Municipal Airport,819.0,,US,US-MN,Hallock,KHCO,,HCO,"48.75270080566406, -96.94300079345703"
KHDC,small_airport,Hammond Northshore Regional Airport,47.0,,US,US-LA,Hammond,KHDC,,HDC,"30.52160072, -90.41840363"
KHDE,small_airport,Brewster Field,2313.0,,US,US-NE,Holdrege,KHDE,HDE,HDE,"40.452099, -99.336502"
KHDI,closed,Hardwick Field,874.0,,US,US-TN,Cleveland,,,,"35.2201, -84.832397"
KHDN,small_airport,Yampa Valley Airport,6606.0,,US,US-CO,Hayden,KHDN,HDN,HDN,"40.481201, -107.218002"
KHDO,small_airport,South Texas Regional Airport at Hondo,930.0,,US,US-TX,Hondo,KHDO,,HDO,"29.35950088501, -99.176696777344"
KHEE,small_airport,Thompson-Robbins Airport,242.0,,US,US-AR,West Helena,KHEE,HEE,HEE,"34.576571, -90.67616"
KHEF,small_airport,Manassas Regional Airport/Harry P. Davis Field,192.0,,US,US-VA,Manassas,KHEF,MNZ,HEF,"38.72140121, -77.51540375"
KHEG,small_airport,Herlong Airport,87.0,,US,US-FL,Jacksonville,KHEG,,HEG,"30.277799606323242, -81.80590057373047"
KHEI,small_airport,Hettinger Municipal Airport,2705.0,,US,US-ND,Hettinger,KHEI,,HEI,"46.01490020751953, -102.65599822998047"
KHEQ,small_airport,Holyoke Airport,3730.0,,US,US-CO,Holyoke,KHEQ,,HEQ,"40.569400787353516, -102.27300262451172"
KHEZ,small_airport,Natchez–Adams County Airport / Hardy-Anders Field,272.0,,US,US-MS,Natchez,KHEZ,HEZ,HEZ,"31.614817, -91.297331"
KHFD,medium_airport,Hartford Brainard Airport,18.0,,US,US-CT,Hartford,KHFD,HFD,HFD,"41.736698150635, -72.649398803711"
KHFF,small_airport,Mackall Army Air Field,376.0,,US,US-NC,Hoffman,KHFF,HFF,HFF,"35.036087, -79.498615"
KHFJ,small_airport,Monett Regional Airport,1314.0,,US,US-MO,Pierce City,KHFJ,,HFJ,"36.9062, -94.012802"
KHFY,small_airport,Indy South Greenwood Airport,822.0,,US,US-IN,Indianapolis,KHFY,,HFY,"39.628399, -86.087898"
KHGR,medium_airport,Hagerstown Regional Richard A Henson Field,703.0,,US,US-MD,Hagerstown,KHGR,HGR,HGR,"39.707901, -77.72949982"
KHHF,small_airport,Hemphill County Airport,2396.0,,US,US-TX,Canadian,KHHF,,HHF,"35.89530182, -100.4039993"
KHHG,small_airport,Huntington Municipal Airport,806.0,,US,US-IN,Huntington,KHHG,,HHG,"40.852901, -85.4571"
KHHR,medium_airport,Jack Northrop Field Hawthorne Municipal Airport,66.0,,US,US-CA,Hawthorne,KHHR,HHR,HHR,"33.922798, -118.334999"
KHHW,small_airport,Stan Stamper Municipal Airport,572.0,,US,US-OK,Hugo,KHHW,HUJ,HHW,"34.03480148, -95.54190063"
KHIB,medium_airport,Range Regional Airport,1354.0,,US,US-MN,Hibbing,KHIB,HIB,HIB,"47.3866, -92.838997"
KHIE,small_airport,Mount Washington Regional Airport,1074.0,,US,US-NH,Whitefield,KHIE,HIE,HIE,"44.36752, -71.545765"
KHIF,medium_airport,Hill Air Force Base,4789.0,,US,US-UT,Ogden,KHIF,HIF,HIF,"41.12403, -111.973086"
KHIG,small_airport,Higginsville Industrial Municipal Airport,840.0,,US,US-MO,Higginsville,KHIG,,HIG,"39.07289886, -93.67749786"
KHII,medium_airport,Lake Havasu City International Airport,783.0,,US,US-AZ,Lake Havasu City,KHII,HII,HII,"34.571098, -114.358002"
